prefix,target,pos,auc
well,leaked_vs_not,0,0.6818409482998498
well,leaked_vs_not,1,0.65073181590517
well,leaked_vs_not,2,0.6778340475262953
well,leaked_vs_not,3,0.6034281262173744
well,leaked_vs_approp,0,0.6504428309263544
well,leaked_vs_approp,1,0.6266656028085853
well,leaked_vs_approp,2,0.674698795180723
well,leaked_vs_approp,3,0.587728397031836
well,refused_vs_rest,0,0.8885327635327636
well,refused_vs_rest,1,0.8765432098765432
well,refused_vs_rest,2,0.8986229819563154
well,refused_vs_rest,3,0.8165954415954415
think,leaked_vs_not,0,0.6820079024987478
think,leaked_vs_not,1,0.6704324113751461
think,leaked_vs_not,2,0.6859035004730367
think,leaked_vs_not,3,0.659858645444933
think,leaked_vs_not,4,0.6728254215593523
think,leaked_vs_not,5,0.6505648617062718
think,leaked_vs_not,6,0.6421058489621014
think,leaked_vs_not,7,0.6385441593856085
think,leaked_vs_not,8,0.6435527853525516
think,leaked_vs_not,9,0.6525126606934163
think,leaked_vs_not,10,0.674717569146864
think,leaked_vs_not,11,0.6780566531248261
think,leaked_vs_not,12,0.7036006455562357
think,leaked_vs_not,13,0.7086649229228115
think,leaked_vs_not,14,0.6819522510991152
think,leaked_vs_approp,0,0.649325779940956
think,leaked_vs_approp,1,0.652277986116652
think,leaked_vs_approp,2,0.6711880635123275
think,leaked_vs_approp,3,0.6697518551025293
think,leaked_vs_approp,4,0.6475704141067581
think,leaked_vs_approp,5,0.6293784409159817
think,leaked_vs_approp,6,0.6481289395994575
think,leaked_vs_approp,7,0.6396712678528684
think,leaked_vs_approp,8,0.645495890848161
think,leaked_vs_approp,9,0.6373573765259714
think,leaked_vs_approp,10,0.6476502034628581
think,leaked_vs_approp,11,0.6679964892683316
think,leaked_vs_approp,12,0.6961621319715949
think,leaked_vs_approp,13,0.6738211122636242
think,leaked_vs_approp,14,0.6486874650921567
think,refused_vs_rest,0,0.8890075973409307
think,refused_vs_rest,1,0.8842592592592593
think,refused_vs_rest,2,0.9274691358024691
think,refused_vs_rest,3,0.8806980056980057
think,refused_vs_rest,4,0.9072886989553656
think,refused_vs_rest,5,0.8931623931623931
think,refused_vs_rest,6,0.900997150997151
think,refused_vs_rest,7,0.8886514719848053
think,refused_vs_rest,8,0.87832383665717
think,refused_vs_rest,9,0.8837844254510923
think,refused_vs_rest,10,0.9078822412155745
think,refused_vs_rest,11,0.8787986704653371
think,refused_vs_rest,12,0.9012345679012346
think,refused_vs_rest,13,0.8983855650522317
think,refused_vs_rest,14,0.8776115859449193
commit,leaked_vs_not,0,0.6828426734932384
commit,leaked_vs_not,1,0.6465579609327174
commit,leaked_vs_not,2,0.6482275029216984
commit,leaked_vs_not,3,0.6508431187044355
commit,leaked_vs_not,4,0.6758862485391507
commit,leaked_vs_not,5,0.7158439534754301
commit,leaked_vs_not,6,0.6965885692025154
commit,leaked_vs_not,7,0.6943068618175747
commit,leaked_vs_not,8,0.701318938171295
commit,leaked_vs_not,9,0.6939173020201458
commit,leaked_vs_not,10,0.6880739050587121
commit,leaked_vs_not,11,0.6540152484834993
commit,leaked_vs_not,12,0.6958651010072903
commit,leaked_vs_not,13,0.6974233401970059
commit,leaked_vs_not,14,0.6959764038065557
commit,leaked_vs_not,15,0.6815626913016862
commit,leaked_vs_not,16,0.7057153987422783
commit,leaked_vs_not,17,0.666536813400857
commit,leaked_vs_not,18,0.6515109355000278
commit,leaked_vs_not,19,0.6885747676554066
commit,leaked_vs_not,20,0.6700428515777171
commit,leaked_vs_not,21,0.7095553453169346
commit,leaked_vs_not,22,0.5767711057933107
commit,leaked_vs_approp,0,0.6498045160775553
commit,leaked_vs_approp,1,0.6491662012287561
commit,leaked_vs_approp,2,0.6531556690337509
commit,leaked_vs_approp,3,0.6316923322428788
commit,leaked_vs_approp,4,0.6502034628580547
commit,leaked_vs_approp,5,0.7078113779621799
commit,leaked_vs_approp,6,0.6750179526051224
commit,leaked_vs_approp,7,0.6942471874251974
commit,leaked_vs_approp,8,0.6865076198835076
commit,leaked_vs_approp,9,0.6986356020106919
commit,leaked_vs_approp,10,0.6597781855900423
commit,leaked_vs_approp,11,0.639272321072369
commit,leaked_vs_approp,12,0.7136360009574721
commit,leaked_vs_approp,13,0.6779701587808187
commit,leaked_vs_approp,14,0.6747785845368228
commit,leaked_vs_approp,15,0.6705497486635283
commit,leaked_vs_approp,16,0.6790872097662172
commit,leaked_vs_approp,17,0.6762147929466209
commit,leaked_vs_approp,18,0.6447777866432618
commit,leaked_vs_approp,19,0.6937684512885981
commit,leaked_vs_approp,20,0.6481289395994574
commit,leaked_vs_approp,21,0.7044602250059842
commit,leaked_vs_approp,22,0.5918774435490305
commit,refused_vs_rest,0,0.8893637226970561
commit,refused_vs_rest,1,0.8806980056980057
commit,refused_vs_rest,2,0.8884140550807217
commit,refused_vs_rest,3,0.9008784425451091
commit,refused_vs_rest,4,0.8903133903133902
commit,refused_vs_rest,5,0.9037274453941121
commit,refused_vs_rest,6,0.9152421652421652
commit,refused_vs_rest,7,0.900403608736942
commit,refused_vs_rest,8,0.9071699905033239
commit,refused_vs_rest,9,0.922602089268756
commit,refused_vs_rest,10,0.9063390313390314
commit,refused_vs_rest,11,0.8968423551756884
commit,refused_vs_rest,12,0.8892450142450142
commit,refused_vs_rest,13,0.9063390313390314
commit,refused_vs_rest,14,0.9164292497625831
commit,refused_vs_rest,15,0.9273504273504274
commit,refused_vs_rest,16,0.9189221272554606
commit,refused_vs_rest,17,0.9255698005698005
commit,refused_vs_rest,18,0.9059829059829061
commit,refused_vs_rest,19,0.9129867046533714
commit,refused_vs_rest,20,0.8592117758784426
commit,refused_vs_rest,21,0.9234330484330484
commit,refused_vs_rest,22,0.7699430199430198
