scenario_id,angle_deg,cosine,angle_quartile,act_checksum_secret,act_checksum_public
208,3.3763,0.998264,1,667510202608,40737086875
210,4.1358,0.997396,2,550524588365,265289479608
211,4.3199,0.997159,2,851029600878,364593135554
212,3.4166,0.998223,1,653812297159,300715427038
214,4.6244,0.996745,3,270887803285,968344166004
219,5.4434,0.99549,3,702526644511,509705471005
221,2.9701,0.998657,1,893784679588,737475240978
240,4.7721,0.996534,3,940763936358,331549822549
243,3.8572,0.997735,2,525723205105,506593356163
252,1.9159,0.999441,1,635068675072,370872034703
261,6.7501,0.993068,4,975188486076,871982358221
273,3.7117,0.997902,1,90898124949,372338199368
279,4.4536,0.996981,2,278421494421,796999687636
280,3.5915,0.998036,1,332622396144,145752767274
285,4.6812,0.996664,3,74136413529,522004758171
286,4.4959,0.996923,3,658794013260,176084690615
295,4.7309,0.996593,3,274027309481,657903278001
319,3.2769,0.998365,1,138492749127,604881115071
326,8.8633,0.988059,4,803791390834,935357537874
329,4.0785,0.997468,2,67790050057,510038264878
330,5.3336,0.99567,3,104318003685,43932996129
342,3.9259,0.997654,2,700507213710,930800143050
343,2.4825,0.999062,1,295581367894,242567263934
366,4.4927,0.996927,3,556694575126,254624840152
382,2.849,0.998764,1,767345050412,67308270426
387,4.4582,0.996974,2,126066323928,642067799460
388,8.0873,0.990055,4,62820278081,934417921180
394,9.461,0.986398,4,139026678276,898064543088
396,6.5434,0.993486,4,230687200968,563148386070
411,8.6847,0.988534,4,972376614564,986843521875
415,4.2212,0.997287,2,889269219780,21551243047
418,4.2105,0.997301,2,157419048874,141529479573
422,3.8967,0.997688,2,114261278274,921846213006
428,2.6795,0.998907,1,660262005351,126307607550
435,6.582,0.993409,4,913124173122,551763857181
441,7.4507,0.991557,4,228420341131,637619111478
442,7.3789,0.991718,4,711649290674,98371551397
461,4.7984,0.996495,3,396622983255,618120076889
473,5.764,0.994944,4,893880624645,425528958581
474,4.6834,0.996661,3,283679460455,986039582181
