scenario_id,quartile,angle,both_3para,full_identical,full_norm_identical,full_seqsim,full_jaccard,full_n_edits,full_edit_vocab_frac,P1_identical,P1_norm_identical,P1_seqsim,P1_jaccard,P1_n_edits,P1_edit_vocab_frac,P2_identical,P2_norm_identical,P2_seqsim,P2_jaccard,P2_n_edits,P2_edit_vocab_frac,P3_identical,P3_norm_identical,P3_seqsim,P3_jaccard,P3_n_edits,P3_edit_vocab_frac
208,1,3.3763,True,False,False,0.7379,0.6774,36,0.0,False,False,0.84,0.7407,5,0.0,False,False,0.7397,0.6,13,0.0,False,False,0.6747,0.6087,18,0.0
210,2,4.1358,True,False,False,0.581,0.4679,52,0.0,False,False,0.5333,0.3548,11,0.0,False,False,0.7342,0.5814,12,0.0,False,False,0.4651,0.3276,29,0.0
211,2,4.3199,True,False,False,0.4402,0.4444,104,0.0,False,False,0.4186,0.4286,21,0.0,False,False,0.3415,0.34,50,0.0,False,False,0.5238,0.4259,34,0.0
212,1,3.4166,True,False,False,0.6471,0.5979,51,0.0,False,False,0.8636,0.7391,4,0.0,False,False,0.5,0.4651,28,0.0,False,False,0.6591,0.5577,19,0.0
214,3,4.6244,True,False,False,0.566,0.5728,75,0.0,False,False,0.7843,0.6667,7,0.0,False,False,0.4211,0.4255,41,0.0,False,False,0.5647,0.4808,27,0.037
219,3,5.4434,True,False,False,0.7184,0.6957,39,0.0,False,False,0.92,0.8333,2,0.0,False,False,0.7463,0.5641,11,0.0,False,False,0.5843,0.62,26,0.0
221,1,2.9701,True,False,False,0.4434,0.4513,86,0.0161,False,False,0.5882,0.4242,13,0.0,False,False,0.3562,0.3265,32,0.0,False,False,0.4318,0.3929,41,0.0294
240,3,4.7721,True,False,False,0.554,0.5146,68,0.0,False,False,0.5957,0.4483,12,0.0,False,False,0.675,0.6098,19,0.0,False,False,0.4186,0.3519,37,0.0
243,2,3.8572,True,False,False,0.6381,0.61,49,0.0256,False,False,0.8696,0.8636,5,0.0,False,False,0.4935,0.4167,23,0.0357,False,False,0.6437,0.4808,21,0.0
252,1,1.9159,True,False,False,0.6893,0.6,48,0.0,False,False,0.9565,0.9091,2,0.0,False,False,0.6944,0.5897,17,0.0,False,False,0.5455,0.4717,29,0.0
261,4,6.7501,True,False,False,0.5687,0.5354,68,0.0,False,False,0.28,0.3235,32,0.0,False,False,0.6377,0.6111,16,0.0,False,False,0.6739,0.566,20,0.0
273,1,3.7117,True,False,False,0.4747,0.4854,66,0.0,False,False,0.2222,0.1081,21,0.0,False,False,0.5882,0.5405,19,0.0,False,False,0.5176,0.4151,26,0.0
279,2,4.4536,True,False,False,0.3791,0.4667,112,0.0,False,False,0.3111,0.3226,25,0.0,False,False,0.3333,0.3333,47,0.0,False,False,0.4468,0.4464,40,0.0
280,1,3.5915,True,False,False,0.6509,0.5446,49,0.0,False,False,0.8889,0.8148,5,0.0,False,False,0.7297,0.6098,15,0.0,False,False,0.4286,0.3333,29,0.0
285,3,4.6812,True,False,False,0.4257,0.48,84,0.0,False,False,0.3556,0.2424,22,0.0,False,False,0.4478,0.3778,24,0.0357,False,False,0.4444,0.4107,38,0.0
286,3,4.4959,True,False,False,0.5756,0.5545,61,0.0,False,False,0.8261,0.75,5,0.0,False,False,0.507,0.4884,30,0.0,False,False,0.5,0.3729,26,0.0
295,3,4.7309,True,False,False,0.4904,0.5532,75,0.0,False,False,0.1961,0.122,25,0.0,False,False,0.4923,0.4,22,0.0,False,False,0.6522,0.6957,28,0.0
319,1,3.2769,True,False,False,0.77,0.6989,36,0.0,True,True,1.0,1.0,0,0.0,False,False,0.5846,0.4048,20,0.0,False,False,0.7708,0.6078,16,0.0
326,4,8.8633,True,False,False,0.3382,0.3559,98,0.0,False,False,0.2353,0.2857,29,0.0,False,False,0.2535,0.1852,39,0.0,False,False,0.4706,0.3509,30,0.0
329,2,4.0785,True,False,False,0.488,0.5155,86,0.0,False,False,0.6667,0.5926,11,0.0909,False,False,0.3243,0.3182,41,0.0333,False,False,0.5287,0.434,34,0.0333
330,3,5.3336,True,False,False,0.4327,0.4851,82,0.0,False,False,0.1304,0.2,33,0.0,False,False,0.411,0.2917,25,0.0,False,False,0.6067,0.5714,24,0.0
342,2,3.9259,True,False,False,0.5118,0.4706,73,0.0,False,False,0.4,0.4375,22,0.0,False,False,0.6087,0.525,23,0.0,False,False,0.5,0.3966,28,0.0
343,1,2.4825,True,False,False,0.7238,0.6667,39,0.0,False,False,0.96,0.92,1,0.0,False,False,0.7536,0.5952,13,0.0,False,False,0.5714,0.5357,25,0.0
366,3,4.4927,True,False,False,0.3805,0.3964,99,0.0149,False,False,0.5,0.375,20,0.0,False,False,0.4324,0.3404,26,0.0323,False,False,0.2651,0.2679,53,0.0
382,1,2.849,True,False,False,0.7264,0.6593,48,0.0,False,False,0.8,0.7692,7,0.0,True,True,1.0,1.0,0,0.0,False,False,0.4719,0.4182,41,0.0
387,2,4.4582,True,False,False,0.5438,0.5185,82,0.0,False,False,0.4615,0.3636,25,0.0,False,False,0.6575,0.5349,21,0.0,False,False,0.5,0.5192,36,0.0
388,4,8.0873,True,False,False,0.5268,0.5,68,0.0392,False,False,0.6957,0.6667,11,0.125,False,False,0.5867,0.5349,21,0.05,False,False,0.381,0.3158,36,0.0
394,4,9.461,True,False,False,0.5192,0.534,77,0.0208,False,False,0.6909,0.5484,10,0.0,False,False,0.2857,0.22,43,0.0,False,False,0.6024,0.4118,24,0.0333
396,4,6.5434,True,False,False,0.2941,0.359,127,0.0,False,False,0.3673,0.303,29,0.0,False,False,0.3824,0.2449,30,0.0,False,False,0.2529,0.2656,49,0.0
411,4,8.6847,True,False,False,0.3365,0.46,120,0.037,False,False,0.5455,0.3929,14,0.0588,False,False,0.1842,0.2708,57,0.0571,False,False,0.4545,0.4259,32,0.0968
415,2,4.2212,True,False,False,0.4057,0.4909,93,0.0357,False,False,0.4348,0.4667,24,0.0,False,False,0.5479,0.4884,23,0.0,False,False,0.2796,0.3594,46,0.0488
418,2,4.2105,True,False,False,0.71,0.6778,47,0.0,True,True,1.0,1.0,0,0.0,False,False,0.7606,0.6667,15,0.0,False,False,0.5287,0.4906,32,0.0
422,2,3.8967,True,False,False,0.8077,0.7471,24,0.0,True,True,1.0,1.0,0,0.0,False,False,0.72,0.65,14,0.0,False,False,0.7765,0.6222,10,0.0
428,1,2.6795,True,False,False,0.5096,0.5524,76,0.0,False,False,0.2174,0.2727,20,0.0,False,False,0.8101,0.7143,11,0.0,False,False,0.3855,0.4182,45,0.0312
435,4,6.582,True,False,False,0.488,0.4571,71,0.0175,False,False,0.6122,0.4333,13,0.0,False,False,0.4865,0.3469,29,0.0,False,False,0.4186,0.4038,29,0.0323
441,4,7.4507,True,False,False,0.4272,0.4299,78,0.0328,False,False,0.2857,0.3448,20,0.0,False,False,0.4737,0.383,31,0.0,False,False,0.4545,0.3621,27,0.0541
442,4,7.3789,True,False,False,0.4563,0.4766,95,0.0,False,False,0.8085,0.64,5,0.0,False,False,0.4615,0.3269,31,0.0,False,False,0.5185,0.4231,26,0.0
461,3,4.7984,True,False,False,0.3458,0.4579,119,0.0,False,False,0.3902,0.3571,18,0.0,False,False,0.2889,0.2295,52,0.0,False,False,0.6024,0.4902,20,0.0
473,4,5.764,True,False,False,0.5687,0.4752,62,0.0,False,False,0.6512,0.4815,10,0.0,False,False,0.5185,0.4783,26,0.0,False,False,0.5747,0.4717,26,0.0
474,3,4.6834,True,False,False,0.5094,0.4854,78,0.0189,False,False,0.4906,0.3939,19,0.0,False,False,0.2353,0.2449,43,0.027,False,False,0.7253,0.6122,16,0.0
