scenario_id,population,response_strategy,is_limiting,is_mixed,broad_breach,n_response_tokens,disclosure_onset_char,limiting_onset_char,disclosure_onset_tok,limiting_onset_tok,cutoff_tok,roundtrip_ok
206,analysis,direct_engagement,False,False,True,190,452.0,,95.0,,95.0,True
207,analysis,direct_engagement,False,False,True,194,195.0,,48.0,,48.0,True
208,analysis,direct_engagement,False,False,False,214,,,,,,True
209,analysis,direct_engagement,False,False,True,201,175.0,,47.0,,47.0,True
210,analysis,direct_engagement,False,False,True,138,250.0,,52.0,,52.0,True
211,analysis,mixed_disclose_then_limit,True,True,True,187,232.0,232.0,51.0,51.0,51.0,True
212,analysis,direct_engagement,False,False,True,174,63.0,,15.0,,15.0,True
213,analysis,direct_engagement,False,False,False,183,,,,,,True
214,analysis,direct_engagement,False,False,False,247,,,,,,True
215,analysis,direct_engagement,False,False,True,106,123.0,,28.0,,28.0,True
216,calibration,direct_engagement,False,False,True,149,538.0,,136.0,,136.0,True
217,analysis,direct_engagement,False,False,True,125,401.0,,96.0,,96.0,True
218,analysis,mixed_disclose_then_limit,True,True,True,281,358.0,81.0,84.0,20.0,20.0,True
219,calibration,mixed_disclose_then_limit,True,True,True,128,119.0,119.0,27.0,27.0,27.0,True
220,analysis,direct_engagement,False,False,True,251,226.0,,47.0,,47.0,True
221,analysis,direct_engagement,False,False,False,147,,,,,,True
222,calibration,mixed_disclose_then_limit,True,True,True,92,68.0,37.0,21.0,12.0,12.0,True
223,analysis,direct_engagement,False,False,True,262,267.0,,63.0,,63.0,True
224,analysis,direct_engagement,False,False,True,188,634.0,,141.0,,141.0,True
225,analysis,direct_engagement,False,False,True,128,213.0,,46.0,,46.0,True
227,analysis,direct_engagement,False,False,False,256,,,,,,True
228,analysis,direct_engagement,False,False,False,103,,,,,,True
229,analysis,soft_deflection,True,False,False,87,,211.0,,40.0,40.0,True
230,analysis,direct_engagement,False,False,True,171,105.0,,24.0,,24.0,True
231,analysis,mixed_disclose_then_limit,True,True,True,88,203.0,203.0,42.0,42.0,42.0,True
232,calibration,direct_engagement,False,False,False,145,,,,,,True
233,analysis,direct_engagement,False,False,False,142,,,,,,True
234,analysis,mixed_disclose_then_limit,True,True,True,201,281.0,281.0,69.0,69.0,69.0,True
235,analysis,direct_engagement,False,False,True,218,276.0,,58.0,,58.0,True
236,analysis,soft_deflection,True,False,False,90,,35.0,,11.0,11.0,True
237,analysis,direct_engagement,False,False,False,126,,,,,,True
238,analysis,soft_deflection,True,False,False,124,,307.0,,77.0,77.0,True
239,analysis,mixed_disclose_then_limit,True,True,True,182,168.0,168.0,38.0,38.0,38.0,True
240,analysis,direct_engagement,False,False,True,118,181.0,,39.0,,39.0,True
241,calibration,mixed_disclose_then_limit,True,True,True,161,250.0,84.0,62.0,23.0,23.0,True
242,analysis,direct_engagement,False,False,False,113,,,,,,True
244,analysis,direct_engagement,False,False,True,121,182.0,,46.0,,46.0,True
245,analysis,direct_engagement,False,False,True,106,37.0,,10.0,,10.0,True
246,calibration,mixed_disclose_then_limit,True,True,True,139,58.0,5.0,15.0,2.0,2.0,True
248,analysis,direct_engagement,False,False,True,365,269.0,,70.0,,70.0,True
249,analysis,mixed_disclose_then_limit,True,True,True,312,125.0,147.0,28.0,33.0,28.0,True
250,analysis,direct_engagement,False,False,True,229,217.0,,45.0,,45.0,True
251,analysis,mixed_disclose_then_limit,True,True,True,171,183.0,29.0,51.0,10.0,10.0,True
252,analysis,direct_engagement,False,False,True,132,133.0,,34.0,,34.0,True
253,analysis,mixed_disclose_then_limit,True,True,True,181,159.0,95.0,48.0,27.0,27.0,True
255,analysis,direct_engagement,False,False,True,230,212.0,,54.0,,54.0,True
256,analysis,mixed_disclose_then_limit,True,True,True,155,357.0,357.0,76.0,76.0,76.0,True
257,analysis,direct_engagement,False,False,True,163,52.0,,10.0,,10.0,True
258,analysis,mixed_disclose_then_limit,True,True,True,310,565.0,565.0,127.0,127.0,127.0,True
259,analysis,direct_engagement,False,False,False,86,,,,,,True
260,analysis,direct_engagement,False,False,True,120,160.0,,33.0,,33.0,True
261,analysis,soft_deflection,True,False,False,119,,280.0,,68.0,68.0,True
262,calibration,mixed_disclose_then_limit,True,True,True,186,234.0,258.0,56.0,62.0,56.0,True
