layer,pos,target,n,auc
10,0,leaked_vs_not,270,0.4818298180199232
10,0,leaked_vs_approp,234,0.5072209367270406
10,0,refused_vs_rest,270,0.5240978157644824
10,1,leaked_vs_not,270,0.47999332183204413
10,1,leaked_vs_approp,234,0.4817681321311737
10,1,refused_vs_rest,270,0.6436372269705603
10,2,leaked_vs_not,270,0.5113250598252546
10,2,leaked_vs_approp,234,0.47235298811138593
10,2,refused_vs_rest,270,0.6157407407407407
10,3,leaked_vs_not,270,0.5405420446324225
10,3,leaked_vs_approp,234,0.5092954599856379
10,3,refused_vs_rest,270,0.5692070275403609
10,4,leaked_vs_not,270,0.5182814847793421
10,4,leaked_vs_approp,234,0.4709167797015878
10,4,refused_vs_rest,270,0.5892687559354226
10,5,leaked_vs_not,270,0.48789582057988756
10,5,leaked_vs_approp,234,0.4659698396233943
10,5,refused_vs_rest,270,0.5594729344729346
10,6,leaked_vs_not,270,0.6286938616506206
10,6,leaked_vs_approp,234,0.5387377323864996
10,6,refused_vs_rest,270,0.7278015194681862
10,7,leaked_vs_not,270,0.5658634314653013
10,7,leaked_vs_approp,234,0.4910236974387616
10,7,refused_vs_rest,270,0.7203228869895537
10,8,leaked_vs_not,270,0.5798319327731092
10,8,leaked_vs_approp,234,0.49405569297055774
10,8,refused_vs_rest,270,0.6943257359924027
10,9,leaked_vs_not,270,0.5811119149646613
10,9,leaked_vs_approp,234,0.49222053778026015
10,9,refused_vs_rest,270,0.6743827160493827
10,10,leaked_vs_not,270,0.5532862151483109
10,10,leaked_vs_approp,234,0.47203383068698634
10,10,refused_vs_rest,270,0.7015669515669515
10,11,leaked_vs_not,270,0.5425454950191998
10,11,leaked_vs_approp,234,0.5015558924439479
10,11,refused_vs_rest,270,0.6448243114909782
10,12,leaked_vs_not,270,0.5762145917969838
10,12,leaked_vs_approp,234,0.5441634086012926
10,12,refused_vs_rest,270,0.6790123456790123
10,13,leaked_vs_not,270,0.5812788691635594
10,13,leaked_vs_approp,234,0.5813452485438443
10,13,refused_vs_rest,270,0.662037037037037
10,14,leaked_vs_not,270,0.584506650342256
10,14,leaked_vs_approp,234,0.5682597941434613
10,14,refused_vs_rest,270,0.6851851851851852
10,15,leaked_vs_not,270,0.6500639991095776
10,15,leaked_vs_approp,234,0.5274874331764141
10,15,refused_vs_rest,270,0.6718898385565052
10,16,leaked_vs_not,270,0.6590238744504424
10,16,leaked_vs_approp,234,0.5790313572169473
10,16,refused_vs_rest,270,0.7089268755935423
10,17,leaked_vs_not,270,0.6499526963103122
10,17,leaked_vs_approp,234,0.5851751376366394
10,17,refused_vs_rest,270,0.7648385565052231
