contrast,status,n,n_pos,prevalence,modal_C,at_grid_edge,p_perm_pr_auc,p_perm_roc_auc,null_pr_auc_mean,null_roc_auc_mean,pr_auc,pr_auc_split_lo,pr_auc_split_hi,roc_auc,roc_auc_split_lo,roc_auc_split_hi,balanced_acc,balanced_acc_split_lo,balanced_acc_split_hi,mcc,mcc_split_lo,mcc_split_hi,sensitivity,sensitivity_split_lo,sensitivity_split_hi,specificity,specificity_split_lo,specificity_split_hi,roc_auc_hanley_se,roc_auc_hanley_lo,roc_auc_hanley_hi,roc_auc_boot_lo,roc_auc_boot_hi,pr_auc_boot_lo,pr_auc_boot_hi,pr_auc_lift_vs_prevalence,minority_n,p_holm_pr_auc,p_holm_roc_auc
substantive_leak|analysis_216,scored,216,57,0.2638888888888889,1e-07,True,0.0658682634730539,0.003992015968063872,0.3237275182320751,0.5034868798875856,0.4025796737494942,0.360984299928257,0.4457417094418065,0.6389829239980449,0.5835192906891495,0.6690277523216032,0.6061267412023461,0.5288404203323558,0.6468476600684263,0.18950564414772783,0.05186003543225691,0.26136025106870403,0.6652272727272727,0.5084469696969697,0.737878787878788,0.5470262096774194,0.503109879032258,0.5911441532258064,0.04440090024032979,0.5519571595269985,0.7260086884690913,0.5426576246334311,0.7236966565860214,0.3455937480139465,0.5486987569756391,0.13869078486060532,,0.1317365269461078,0.011976047904191616
broad_breach|analysis_216,scored,216,188,0.8703703703703703,0.0001,False,0.00998003992015968,0.003992015968063872,0.880005849124329,0.4977006638217165,0.93619932826016,0.9219398281763511,0.947784280908945,0.6984853010905642,0.6505142247510669,0.7413709103840682,0.6248762446657184,0.5644739212897109,0.6672556899004267,0.16988405989132488,0.08811099927754237,0.22801348004716665,0.5627524893314366,0.5286735419630156,0.5956116642958749,0.687,0.5653333333333334,0.7705,0.04708979078062537,0.6061893111605384,0.7907812910205899,0.573251659554291,0.8105133949739214,0.9047465383979878,0.9651347850427142,0.0658289578897896,,0.029940119760479042,0.011976047904191616
leak_vs_appropriate|analysis_216,scored,81,57,0.7037037037037037,1e-07,True,0.001996007984031936,0.001996007984031936,0.7534746110175722,0.5050987878787878,0.9108627439108723,0.8834304391946438,0.9369037808782127,0.8139280303030304,0.7611079545454545,0.8644469696969697,0.7020984848484849,0.6530719696969697,0.7307234848484849,0.38564880679829106,0.29423324973441256,0.4483621310809852,0.6896969696969697,0.6413257575757576,0.7465530303030304,0.7144999999999999,0.63325,0.7905,0.047179096574764844,0.7214570010164914,0.9063990595895695,0.6841969696969697,0.9168844696969696,0.8532670661001208,0.967375,0.20715904020716858,,0.011976047904191616,0.011976047904191616
degree_boundary_broadonly_vs_leaked|analysis_216,scored,188,57,0.30319148936170215,1e-07,True,0.3093812375249501,0.1217564870259481,0.3647166371999504,0.5006502719502719,0.3896638399136999,0.3545758666129637,0.43122394859803775,0.5751926314426314,0.5157400932400932,0.6159226884226884,0.5561910774410774,0.5023033216783217,0.6046843434343434,0.10454788224606967,0.0030536914999673096,0.19447921735215762,0.595530303030303,0.5082954545454546,0.676060606060606,0.5168518518518518,0.4690954415954416,0.5692663817663818,0.04617883528914061,0.48468211427591584,0.665703148609347,0.473236531986532,0.668342722092722,0.3445291841086913,0.5177561517030624,0.08647235055199776,,0.3093812375249501,0.1217564870259481
limiting_vs_direct|analysis_216,scored,216,76,0.35185185185185186,0.0001,False,0.001996007984031936,0.001996007984031936,0.4016331310662824,0.49971595238095234,0.6034539452022274,0.5641541491966485,0.6402614994184954,0.7243050595238095,0.6936130952380952,0.7543191964285714,0.6692916666666666,0.6333244047619048,0.6987157738095238,0.3273158613619537,0.2598297328770242,0.3855365074002991,0.7085833333333333,0.6475416666666667,0.7500416666666667,0.63,0.5891071428571428,0.6642857142857144,0.03766645054793558,0.6504788164498558,0.7981313025977632,0.6477968749999999,0.8014687500000001,0.5375134910402098,0.7135637993359821,0.25160209335037553,,0.011976047904191616,0.011976047904191616
limiting_among_disclosers|analysis_216,scored,188,72,0.3829787234042553,0.0001,False,0.001996007984031936,0.001996007984031936,0.4358103990664842,0.4993068530020704,0.6313170796546561,0.5839713628236706,0.6637506908863025,0.7283571428571427,0.6811387163561077,0.7589008799171841,0.6892194616977224,0.6463128881987578,0.7288914337474118,0.37352308841515647,0.2869804737188059,0.451161560438911,0.7143809523809523,0.6409047619047619,0.7778571428571429,0.6640579710144927,0.6176902173913044,0.6947826086956522,0.03912835809515228,0.6516655609906442,0.8050487247236412,0.6424538043478262,0.8103937629399586,0.5663518048101217,0.7449303402587502,0.2483383562504008,,0.011976047904191616,0.011976047904191616
refused_vs_appropriate|analysis_216,underpowered_skipped,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
substantive_leak|all_258,scored,258,83,0.32170542635658916,0.001,False,0.017964071856287425,0.003992015968063872,0.3692457655586496,0.5001004201680672,0.46315575072936427,0.40304647876866007,0.5001291622422556,0.638578781512605,0.6051869747899159,0.6723103991596638,0.5986297268907562,0.5684729516806722,0.6336867121848739,0.18688173782803902,0.1302553497195259,0.2533681189897437,0.6478308823529413,0.6101838235294118,0.7137867647058823,0.5494285714285714,0.5112857142857142,0.5972857142857142,0.03793764174408799,0.5642210036941926,0.7129365593310175,0.5543103991596638,0.7173760504201682,0.40258449888842496,0.5764206574559142,0.1414503243727751,,0.03592814371257485,0.011976047904191616
broad_breach|all_258,scored,258,224,0.8682170542635659,1e-07,True,0.005988023952095809,0.001996007984031936,0.8772160950028703,0.49944343434343436,0.9276052790131999,0.9142751339591726,0.9375381165972562,0.6841784511784513,0.6184153439153439,0.7149356661856662,0.6319512987012986,0.5886976911976912,0.6636468253968254,0.18000404076953114,0.11902729296969172,0.22379254069337456,0.5660454545454546,0.5357853535353535,0.6076161616161616,0.6978571428571427,0.5804761904761905,0.7644047619047619,0.04390085120956954,0.598132782807695,0.7702241195492077,0.5682388167388167,0.7851500721500722,0.898710314381938,0.957377085231785,0.05938822474963401,,0.017964071856287428,0.011976047904191616
leak_vs_appropriate|all_258,scored,110,83,0.7545454545454545,0.01,False,0.001996007984031936,0.001996007984031936,0.7884842259703799,0.5034315196078432,0.9365563705562708,0.925767676014987,0.9472012405320844,0.8378198529411766,0.81528125,0.8679509803921569,0.7287352941176469,0.6903523284313726,0.7806703431372549,0.41153944644995616,0.34251243426083056,0.5033772863685059,0.7014705882352941,0.6578676470588235,0.7534375,0.756,0.673,0.8501666666666667,0.03838119044557886,0.762592719667842,0.9130469862145111,0.7406801470588236,0.9235802696078431,0.8979571765185809,0.9742946793544653,0.18201091601081631,,0.011976047904191616,0.011976047904191616
degree_boundary_broadonly_vs_leaked|all_258,scored,224,83,0.3705357142857143,1e-07,True,0.027944111776447105,0.01996007984031936,0.41935888851444214,0.5004088688061432,0.50112604602861,0.45751199432203826,0.5310178898009504,0.614752426832802,0.5734996875905535,0.6408604390031875,0.5792982106635758,0.5558447732541294,0.5979207113880035,0.15666706803972721,0.11627428009556809,0.19274408397126133,0.6399264705882353,0.5542279411764706,0.6918566176470589,0.5186699507389162,0.4749199507389163,0.5681219211822659,0.03950122089382265,0.5373300338809096,0.6921748197846943,0.5260718360620111,0.6933343369675458,0.4457412607294259,0.6080670216859432,0.1305903317428957,,0.03592814371257485,0.01996007984031936
limiting_vs_direct|all_258,scored,258,104,0.40310077519379844,0.0001,False,0.001996007984031936,0.001996007984031936,0.4463012579329521,0.5018422529441884,0.7117859566734017,0.6884528868101328,0.7365391826115917,0.773979006656426,0.7546056067588325,0.7954160266257041,0.7029420122887866,0.6714016897081413,0.7266783794162827,0.40112658812423635,0.3386392079764379,0.4471470756694952,0.7336904761904762,0.6919047619047619,0.764,0.6721935483870968,0.6384193548387097,0.7076505376344085,0.030780498719175084,0.7136492291668429,0.8343087841460092,0.7092242703533026,0.8309573732718893,0.6494782842691599,0.7927865705146004,0.3086851814796033,,0.011976047904191616,0.011976047904191616
limiting_among_disclosers|all_258,scored,224,97,0.4330357142857143,0.0001,False,0.001996007984031936,0.001996007984031936,0.47751301007529184,0.5000237862348179,0.7276003820969908,0.6954183579792865,0.7511177697214592,0.7755654251012145,0.7484317408906883,0.7902122267206477,0.7164093117408907,0.6768518218623482,0.7519267206477732,0.43426361016416515,0.35595394370233147,0.5049800995072293,0.7255263157894737,0.6575921052631578,0.7696842105263157,0.7072923076923077,0.673923076923077,0.7398538461538461,0.03225544778226939,0.7123447474479665,0.8387861027544625,0.7044076113360325,0.841914939271255,0.66601359547924,0.8183840148976269,0.29456466781127655,,0.011976047904191616,0.011976047904191616
refused_vs_appropriate|all_258,underpowered_skipped,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
