layer,pos_name,pos_idx,target,n,auc
10,k0,0,leaked_vs_not,270,0.4818298180199232
10,k0,0,leaked_vs_approp,234,0.5072209367270406
10,k0,0,refused_vs_rest,270,0.5240978157644824
10,10%,1,leaked_vs_not,270,0.4972452557181813
10,10%,1,leaked_vs_approp,234,0.5074603047953403
10,10%,1,refused_vs_rest,270,0.5183998100664768
10,25%,2,leaked_vs_not,270,0.6702098057766153
10,25%,2,leaked_vs_approp,234,0.6825181520785127
10,25%,2,refused_vs_rest,270,0.6231006647673314
10,50%,3,leaked_vs_not,270,0.6086037063832155
10,50%,3,leaked_vs_approp,234,0.6721455357855262
10,50%,3,refused_vs_rest,270,0.6956315289648624
10,75%,4,leaked_vs_not,270,0.6629194724247315
10,75%,4,leaked_vs_approp,234,0.6778903694247187
10,75%,4,refused_vs_rest,270,0.6688034188034188
10,90%,5,leaked_vs_not,270,0.6172296733262842
10,90%,5,leaked_vs_approp,234,0.6261868666719859
10,90%,5,refused_vs_rest,270,0.7243589743589743
10,last,6,leaked_vs_not,270,0.6594690856475041
10,last,6,leaked_vs_approp,234,0.5749621000558527
10,last,6,refused_vs_rest,270,0.8133903133903134
15,k0,0,leaked_vs_not,270,0.6203461517057154
15,k0,0,leaked_vs_approp,234,0.6143780419692014
15,k0,0,refused_vs_rest,270,0.7435897435897436
15,10%,1,leaked_vs_not,270,0.5895709277088319
15,10%,1,leaked_vs_approp,234,0.5533391845527806
15,10%,1,refused_vs_rest,270,0.7579534662867996
15,25%,2,leaked_vs_not,270,0.6889086760532028
15,25%,2,leaked_vs_approp,234,0.6769328971515199
15,25%,2,refused_vs_rest,270,0.7631766381766382
15,50%,3,leaked_vs_not,270,0.6821192052980132
15,50%,3,leaked_vs_approp,234,0.7193808345966648
15,50%,3,refused_vs_rest,270,0.7927350427350429
15,75%,4,leaked_vs_not,270,0.6659246480048973
15,75%,4,leaked_vs_approp,234,0.677730790712519
15,75%,4,refused_vs_rest,270,0.7187796771130104
15,90%,5,leaked_vs_not,270,0.6667594189993877
15,90%,5,leaked_vs_approp,234,0.6505226202824542
15,90%,5,refused_vs_rest,270,0.7965337132003798
15,last,6,leaked_vs_not,270,0.7122266124993044
15,last,6,leaked_vs_approp,234,0.6474108353945585
15,last,6,refused_vs_rest,270,0.9166666666666667
20,k0,0,leaked_vs_not,270,0.6865156658689966
20,k0,0,leaked_vs_approp,234,0.6521981967605521
20,k0,0,refused_vs_rest,270,0.8909069325735992
20,10%,1,leaked_vs_not,270,0.5979742890533697
20,10%,1,leaked_vs_approp,234,0.5763983084656508
20,10%,1,refused_vs_rest,270,0.7727920227920229
20,25%,2,leaked_vs_not,270,0.72697423340197
20,25%,2,leaked_vs_approp,234,0.7003111784887897
20,25%,2,refused_vs_rest,270,0.8149335232668566
20,50%,3,leaked_vs_not,270,0.7131170348934276
20,50%,3,leaked_vs_approp,234,0.7434772201388335
20,50%,3,refused_vs_rest,270,0.8265669515669516
20,75%,4,leaked_vs_not,270,0.6589682230508097
20,75%,4,leaked_vs_approp,234,0.6797255246150165
20,75%,4,refused_vs_rest,270,0.7345679012345679
20,90%,5,leaked_vs_not,270,0.6178418387222439
20,90%,5,leaked_vs_approp,234,0.5842974547195404
20,90%,5,refused_vs_rest,270,0.7865622032288698
20,last,6,leaked_vs_not,270,0.7443374700873727
20,last,6,leaked_vs_approp,234,0.6849118327615097
20,last,6,refused_vs_rest,270,0.8905508072174739
24,k0,0,leaked_vs_not,270,0.689019978852468
24,k0,0,leaked_vs_approp,234,0.6794861565467168
24,k0,0,refused_vs_rest,270,0.8695394112060779
24,10%,1,leaked_vs_not,270,0.5517279759585954
24,10%,1,leaked_vs_approp,234,0.5487114018989868
24,10%,1,refused_vs_rest,270,0.7340930674264008
24,25%,2,leaked_vs_not,270,0.6713228337692693
24,25%,2,leaked_vs_approp,234,0.6759754248783213
24,25%,2,refused_vs_rest,270,0.7813390313390314
24,50%,3,leaked_vs_not,270,0.6608047192386889
24,50%,3,leaked_vs_approp,234,0.7424399585095348
24,50%,3,refused_vs_rest,270,0.7947530864197531
24,75%,4,leaked_vs_not,270,0.6420501975624687
24,75%,4,leaked_vs_approp,234,0.6191654033351951
24,75%,4,refused_vs_rest,270,0.7327872744539411
24,90%,5,leaked_vs_not,270,0.5526183983527185
24,90%,5,leaked_vs_approp,234,0.5068219899465412
24,90%,5,refused_vs_rest,270,0.7424026590693258
24,last,6,leaked_vs_not,270,0.690355612443653
24,last,6,leaked_vs_approp,234,0.6432617888773636
24,last,6,refused_vs_rest,270,0.8682336182336182
28,k0,0,leaked_vs_not,270,0.6554621848739497
28,k0,0,leaked_vs_approp,234,0.6783691055613181
28,k0,0,refused_vs_rest,270,0.8150522317188984
28,10%,1,leaked_vs_not,270,0.5353664644665814
28,10%,1,leaked_vs_approp,234,0.5259714354105163
28,10%,1,refused_vs_rest,270,0.6805555555555556
28,25%,2,leaked_vs_not,270,0.6457788413378596
28,25%,2,leaked_vs_approp,234,0.6463735737652598
28,25%,2,refused_vs_rest,270,0.7464387464387464
28,50%,3,leaked_vs_not,270,0.6593577828482385
28,50%,3,leaked_vs_approp,234,0.7320673422165483
28,50%,3,refused_vs_rest,270,0.7782526115859448
28,75%,4,leaked_vs_not,270,0.6386554621848739
28,75%,4,leaked_vs_approp,234,0.6085534189739089
