contrast,status,n,n_pos,prevalence,roc_acts,pr_acts,roc_tfidf,pr_tfidf,roc_embed,pr_embed,stronger_text_channel,delta_roc_tfidf,delta_boot_lo_tfidf,delta_boot_hi_tfidf,p_boot_tfidf,legacy_boot_lo_tfidf,legacy_boot_hi_tfidf,legacy_p_boot_tfidf,delta_roc_embed,delta_boot_lo_embed,delta_boot_hi_embed,p_boot_embed,legacy_boot_lo_embed,legacy_boot_hi_embed,legacy_p_boot_embed,delta_roc_stronger,delta_boot_lo_stronger,delta_boot_hi_stronger,p_boot_stronger,minority_n,p_holm_delta_stronger
substantive_leak|analysis_216,scored,216,57,0.2638888888888889,0.6389829239980449,0.4025796737494942,0.6038090328690127,0.45339217658714653,0.6112275476539589,0.44774265075368325,embed,0.03517389112903224,-0.04329625367065389,0.11954606071907581,0.20679320679320679,-0.06931615805229713,0.13830500061094797,0.2837162837162837,0.02775537634408598,-0.04784160159401584,0.11258393538182124,0.24275724275724275,-0.08877707264173987,0.14739720796676437,0.2987012987012987,0.02775537634408598,-0.04784160159401584,0.11258393538182124,0.24275724275724275,,0.5274725274725275
broad_breach|analysis_216,scored,216,188,0.8703703703703703,0.6984853010905642,0.93619932826016,0.6358243243243245,0.9282232011260598,0.6650568990042675,0.9354675286080903,embed,0.06266097676623972,-0.031492975135739905,0.15887927490111856,0.08891108891108891,-0.07959198672356592,0.19180322427690846,0.1958041958041958,0.033428402086296716,-0.04178081525656696,0.11169381673079987,0.17482517482517482,-0.11894250829777155,0.17991180654338554,0.34765234765234765,0.033428402086296716,-0.04178081525656696,0.11169381673079987,0.17482517482517482,,0.5274725274725275
leak_vs_appropriate|analysis_216,scored,81,57,0.7037037037037037,0.8139280303030304,0.9108627439108723,0.6999469696969697,0.87829035998538,0.756909090909091,0.9017538140768421,embed,0.11398106060606072,0.02043265617939619,0.204395779436665,0.006993006993006993,-0.04857386363636366,0.2694545454545455,0.08391608391608392,0.05701893939393943,-0.0348413856791349,0.14702426340635524,0.13186813186813187,-0.12106439393939375,0.21283712121212126,0.24775224775224775,0.05701893939393943,-0.0348413856791349,0.14702426340635524,0.13186813186813187,,0.5274725274725275
degree_boundary_broadonly_vs_leaked|analysis_216,scored,188,57,0.30319148936170215,0.5751926314426314,0.3896638399136999,0.5787302512302513,0.4577705226514204,0.582348161098161,0.4571052071910785,embed,-0.0035376197876199056,-0.09483314952476818,0.08118038749347878,0.5344655344655345,-0.13143113830613826,0.12511930199430196,0.5094905094905094,-0.007155529655529569,-0.09245571291723091,0.07244858333880924,0.5694305694305695,-0.16132397694897704,0.12237859362859356,0.5624375624375625,-0.007155529655529569,-0.09245571291723091,0.07244858333880924,0.5694305694305695,,0.5694305694305695
limiting_vs_direct|analysis_216,scored,216,76,0.35185185185185186,0.7243050595238095,0.6034539452022274,0.5607693452380953,0.4448104895569337,0.5996116071428571,0.4675263594503473,embed,0.16353571428571423,0.09635018759979298,0.23543969148991536,0.000999000999000999,0.06752901785714271,0.2602217261904762,0.000999000999000999,0.12469345238095242,0.04941936166518644,0.19552106120166304,0.001998001998001998,0.011734374999999898,0.2320111607142857,0.017982017982017984,0.12469345238095242,0.04941936166518644,0.19552106120166304,0.001998001998001998,,0.00999000999000999
limiting_among_disclosers|analysis_216,scored,188,72,0.3829787234042553,0.7283571428571427,0.6313170796546561,0.5566886645962732,0.468723675933228,0.566787784679089,0.4769491223258308,embed,0.1716684782608695,0.09726496163931417,0.24902313888378952,0.000999000999000999,0.07788910455486535,0.26918698240165634,0.001998001998001998,0.16156935817805373,0.08282648234348872,0.2340834486508038,0.000999000999000999,0.03664919772256713,0.27060183747412,0.008991008991008992,0.16156935817805373,0.08282648234348872,0.2340834486508038,0.000999000999000999,,0.005994005994005994
refused_vs_appropriate|analysis_216,underpowered_skipped,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
substantive_leak|all_258,scored,258,83,0.32170542635658916,0.638578781512605,0.46315575072936427,0.5661481092436975,0.4638543407015462,0.6224275210084033,0.48684966828365717,embed,0.07243067226890754,0.001648471825674211,0.1449402828546677,0.022977022977022976,-0.021795168067226815,0.1743492647058823,0.06793206793206794,0.016151260504201792,-0.04737443878460178,0.09011680938808223,0.31868131868131866,-0.09086344537815125,0.12388865546218486,0.3866133866133866,0.016151260504201792,-0.04737443878460178,0.09011680938808223,0.31868131868131866,,0.42957042957042957
broad_breach|all_258,scored,258,224,0.8682170542635659,0.6841784511784513,0.9276052790131999,0.6375216450216451,0.9248933192626033,0.6526623376623377,0.9258557125000568,embed,0.04665680615680623,-0.048929724280407094,0.14354831634944687,0.15284715284715283,-0.06327332852332851,0.16807455507455515,0.2177822177822178,0.03151611351611361,-0.04970931772579615,0.10592288012876783,0.21478521478521478,-0.09766173641173631,0.14964417989417989,0.27172827172827174,0.03151611351611361,-0.04970931772579615,0.10592288012876783,0.21478521478521478,,0.42957042957042957
leak_vs_appropriate|all_258,scored,110,83,0.7545454545454545,0.8378198529411766,0.9365563705562708,0.7092181372549019,0.9002595195428498,0.7829411764705883,0.9222387035186973,embed,0.12860171568627465,0.05335719651138134,0.20485092603768748,0.000999000999000999,0.02344546568627449,0.24080759803921561,0.00999000999000999,0.054878676470588306,-0.01922627733751474,0.12505599194979852,0.07092907092907093,-0.05464828431372554,0.1898333333333331,0.1878121878121878,0.054878676470588306,-0.01922627733751474,0.12505599194979852,0.07092907092907093,,0.23176823176823177
